1352853188.708,9315400,39830,-22779,1704.245,823.082,-0.499,-0.708
1352853188.708,9330400,34873,-17618,1467.723,1280.126,2.821,2.799
1352853188.708,9330600,-9670,7396,1230.397,1095.896,2.322,2.357
1352853188.742,9315400,39848,-22802,1704.947,903.930,-0.648,-0.732
1352853188.742,9330400,34830,-17590,1466.868,1302.011,2.751,2.748
1352853188.742,9330600,-9671,7410,1229.642,903.133,2.269,2.250
1352853188.777,9315400,39822,-22783,1706.243,785.811,-0.962,-0.890
1352853188.777,9330400,34778,-17591,1465.307,1328.155,2.797,2.803
1352853188.777,9330600,-9704,7449,1331.489,949.009,2.302,2.309
1352853188.813,9315400,39815,-22788,1706.475,786.133,-0.974,-0.961
1352853188.813,9330400,34735,-17600,1510.503,1331.884,2.817,2.782
1352853188.813,9330600,-9727,7479,1356.019,906.588,2.287,2.278
1352853188.847,9315400,39791,-22729,1706.451,556.775,-0.648,-0.884
1352853188.847,9330400,34692,-17595,1529.050,1292.245,2.820,2.822
1352853188.847,9330600,-9753,7519,1388.466,1012.705,2.238,2.276
1352853188.882,9315400,39793,-22710,1706.078,532.843,-0.652,-0.861
1352853188.882,9330400,34649,-17596,1525.839,1307.894,2.819,2.824
1352853188.882,9330600,-9809,7560,1401.905,1137.408,2.379,2.377
1352853188.915,9315400,39802,-22716,1705.187,526.286,-0.701,-0.839
1352853188.915,9330400,34583,-17598,1525.228,1345.215,2.869,2.863
1352853188.915,9330600,-9853,7596,1403.310,1199.536,2.450,2.423
1352853188.950,9315400,39805,-22714,1704.304,522.090,-0.672,-0.790
1352853188.950,9330400,34526,-17606,1538.880,1334.973,2.913,2.883
1352853188.950,9330600,-9890,7622,1411.601,1201.488,2.366,2.452
1352853188.983,9315400,39798,-22693,1703.987,447.795,-0.749,-0.774
1352853188.983,9330400,34479,-17615,1546.699,1338.209,2.908,2.925
1352853188.983,9330600,-9990,7673,1410.114,1406.851,2.405,2.542
1352853189.017,9315400,39790,-22695,1704.118,439.755,-0.756,-0.794
1352853189.017,9330400,34407,-17644,1533.305,1425.251,2.972,2.985
1352853189.017,9330600,-10054,7701,1448.745,1409.074,2.477,2.568
1352853189.051,9315400,39747,-22581,1709.395,226.711,2.899,1.759
1352853189.051,9330400,34354,-17650,1517.783,1403.728,3.023,3.017
1352853189.051,9330600,-10104,7728,1447.716,1388.683,2.522,2.553
1352853189.085,9315400,39743,-22541,1715.701,289.185,2.457,1.915
1352853189.085,9330400,34291,-17664,1501.380,1346.579,3.023,3.001
1352853189.085,9330600,-10114,7718,1448.041,1112.047,2.457,2.497
1352853189.119,9315400,39702,-22482,1728.617,427.368,2.190,2.027
1352853189.119,9330400,34239,-17667,1483.109,1425.567,3.022,3.010
1352853189.119,9330600,-10126,7726,1463.140,1005.832,2.474,2.511
1352853189.152,9315400,39669,-22426,1752.736,560.834,2.095,1.978
1352853189.152,9330400,34193,-17656,1493.858,1448.267,3.025,3.006
1352853189.152,9330600,-10178,7773,1492.445,1057.648,2.450,2.454
1352853189.185,9315400,39649,-22389,1754.503,592.784,2.053,2.042
1352853189.185,9330400,34158,-17643,1499.391,1434.150,2.909,3.001
1352853189.185,9330600,-10226,7801,1499.604,1080.727,2.410,2.462
1352853189.219,9315400,39617,-22351,1755.398,621.436,2.070,2.086
1352853189.219,9330400,34079,-17636,1493.985,1443.701,2.856,2.965
1352853189.219,9330600,-10257,7820,1335.200,1045.813,2.374,2.422
1352853189.255,9315400,39594,-22329,1751.672,663.520,2.132,2.119
1352853189.255,9330400,34001,-17648,1491.125,1440.867,2.902,3.006
1352853189.255,9330600,-10261,7845,1322.302,1005.261,2.326,2.422
1352853189.288,9315400,39576,-22309,1747.440,697.603,2.187,2.166
1352853189.288,9330400,33968,-17655,1493.527,1367.109,2.901,2.977
1352853189.288,9330600,-10278,7861,1325.937,928.831,2.354,2.436
1352853189.322,9315400,39557,-22299,1746.206,754.780,2.207,2.216
1352853189.322,9330400,33936,-17659,1495.963,1381.929,2.872,2.996
1352853189.322,9330600,-10283,7852,1311.766,901.062,2.401,2.512
1352853189.356,9315400,39545,-22317,1742.914,690.777,2.267,2.269
1352853189.356,9330400,33900,-17671,1503.212,1289.524,2.951,3.026
1352853189.356,9330600,-10321,7868,1308.027,893.488,2.346,2.463
1352853189.394,9315400,39524,-22314,1737.674,654.627,2.409,2.410
1352853189.394,9330400,33872,-17685,1507.206,1205.574,2.992,3.090
1352853189.394,9330600,-10357,7886,1306.855,896.091,2.327,2.417
1352853189.428,9315400,39489,-22337,1731.100,612.309,2.557,2.559
1352853189.428,9330400,33837,-17659,1501.898,1165.986,2.889,2.970
1352853189.428,9330600,-10383,7910,1324.733,865.184,2.340,2.374
